model_id,display_name,provider,release_date,notes
abacus_ai_desktop_multiple,Abacus AI Desktop | Multiple,Abacus AI Desktop,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
adk_gaia,ADK-GAIA,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agent2030,Agent2030,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agent_2030,agent-2030,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agent_2030_v2_0,agent-2030-v2.0,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agentim,AgentIM,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agentim_v1_1,AgentIM v1.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
agents_on_the_fly,Agents-On-the-fly,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
aime_agent_v0_1,Aime_Agent_v0.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
alita_v0_1,Alita v0.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
alita_v1_1,Alita v1.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
alita_v2_0,Alita v2.0,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
alita_v2_1,Alita v2.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
anges,Anges,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
ant_test,ant_test,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
ante_gemini_3_pro,Ante | Gemini 3 Pro,Ante,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
auto_deep_research,Auto-Deep-Research,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
autogpt4,AutoGPT4,OpenAI-related submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
aworld,AWorld,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
aworld_click_to_run_instantly,AWorld (Click to Run Instantly),Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
barcelona_v0_1,Barcelona v0.1,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
camel_ai_claude_sonnet_4_5,CAMEL-AI | Claude Sonnet 4.5,CAMEL-AI,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
capy_claude_opus_4_6,Capy | Claude Opus 4.6,Capy,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
cchuter_minimax_m2_5,cchuter | minimax-m2.5,cchuter,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
claritybot,ClarityBot,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
claritybotv2,ClarityBotV2,Benchmark submission,,Auto-generated from live benchmark aliases. Observed in: gaia.
claude_code_claude_haiku_4_5,Claude Code | Claude Haiku 4.5,Claude Code,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
claude_code_claude_opus_4_1,Claude Code | Claude Opus 4.1,Claude Code,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
