record_id,record_type,priority_label,task_id,source_task_id,target_task_id,onet_task_text,target_task_text,relation_type,dependency_strength,confidence,evidence_count,review_reason,DAE,OC,IC,SE,accept_or_reject,reason,prompt_change_needed,weight_change_needed,notes
adjudication_task_dependency_T14_T21,adjudication,high,T14,,,"Identify, review, or select vendors or consultants to meet project needs.",,,,0.77,2,adjudication_revise,65.0,81.25,13.03,8.47,,,,,"Vendor review prepares negotiation but does not fully determine the bargaining outcome, so moderate strength fits better than strong."
adjudication_direct_exposure_T21,adjudication,high,T21,,,Negotiate with project stakeholders or suppliers to obtain resources or materials.,,,,0.83,2,adjudication_revise,50.0,93.75,13.9,6.95,,,,,"Negotiation preparation is tool-assisted, but the negotiation act itself is less directly executable than initially estimated."
dependency_T01_T03,task_dependency,high,T01,T01,T03,"Manage project execution to ensure adherence to budget, schedule, and scope.",Monitor or track project milestones and deliverables.,informs,3,0.85,1,strong_edge|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T04,task_dependency,high,T01,T01,T04,"Manage project execution to ensure adherence to budget, schedule, and scope.","Submit project deliverables, ensuring adherence to quality standards.",enables,3,0.86,1,strong_edge|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T01_T13,task_dependency,high,T01,T01,T13,"Manage project execution to ensure adherence to budget, schedule, and scope.","Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,3,0.87,1,strong_edge|thin_evidence,70.0,81.25,64.46,45.12,,,,,
dependency_T02_T06,task_dependency,high,T02,T02,T06,Confer with project personnel to identify and resolve problems.,"Initiate, review, or approve modifications to project plans.",informs,3,0.89,2,strong_edge,55.0,75.0,19.21,10.56,,,,,
dependency_T02_T13,task_dependency,high,T02,T02,T13,Confer with project personnel to identify and resolve problems.,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,3,0.87,1,strong_edge|thin_evidence,55.0,75.0,19.21,10.56,,,,,
dependency_T03_T04,task_dependency,high,T03,T03,T04,Monitor or track project milestones and deliverables.,"Submit project deliverables, ensuring adherence to quality standards.",enables,3,0.86,1,strong_edge|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T06,task_dependency,high,T03,T03,T06,Monitor or track project milestones and deliverables.,"Initiate, review, or approve modifications to project plans.",informs,3,0.88,1,strong_edge|thin_evidence,75.0,43.75,35.08,26.31,,,,,
dependency_T03_T13,task_dependency,high,T03,T03,T13,Monitor or track project milestones and deliverables.,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",informs,4,0.95,2,strong_edge,75.0,43.75,35.08,26.31,,,,,
dependency_T05_T09,task_dependency,high,T05,T05,T09,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,informs,3,0.88,2,strong_edge,60.0,75.0,20.65,12.39,,,,,
dependency_T05_T11,task_dependency,high,T05,T05,T11,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.","Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",informs,4,0.93,2,strong_edge,60.0,75.0,20.65,12.39,,,,,
dependency_T05_T17,task_dependency,high,T05,T05,T17,"Assess current or future customer needs and priorities by communicating directly with customers, conducting surveys, or other methods.",Develop and manage work breakdown structure (WBS) of information technology projects.,informs,3,0.85,2,strong_edge,60.0,75.0,20.65,12.39,,,,,
dependency_T06_T01,task_dependency,high,T06,T06,T01,"Initiate, review, or approve modifications to project plans.","Manage project execution to ensure adherence to budget, schedule, and scope.",changes,3,0.88,2,strong_edge,70.0,93.75,54.78,38.35,,,,,
dependency_T06_T11,task_dependency,high,T06,T06,T11,"Initiate, review, or approve modifications to project plans.","Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",changes,4,0.95,1,strong_edge|thin_evidence,70.0,93.75,54.78,38.35,,,,,
dependency_T08_T01,task_dependency,high,T08,T08,T01,Direct or coordinate activities of project personnel.,"Manage project execution to ensure adherence to budget, schedule, and scope.",enables,4,0.91,1,strong_edge|thin_evidence,60.0,87.5,22.32,13.39,,,,,
dependency_T08_T18,task_dependency,high,T08,T08,T18,Direct or coordinate activities of project personnel.,"Monitor the performance of project team members, providing and documenting performance feedback.",enables,3,0.82,1,strong_edge|thin_evidence,60.0,87.5,22.32,13.39,,,,,
dependency_T09_T10,task_dependency,high,T09,T09,T10,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,Identify need for initial or supplemental project resources.,informs,3,0.85,2,strong_edge,80.0,75.0,19.34,15.47,,,,,
dependency_T09_T11,task_dependency,high,T09,T09,T11,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",informs,3,0.87,2,strong_edge,80.0,75.0,19.34,15.47,,,,,
dependency_T09_T15,task_dependency,high,T09,T09,T15,Develop implementation plans that include analyses such as cost-benefit or return on investment (ROI).,Develop and manage annual budgets for information technology projects.,informs,3,0.9,1,strong_edge|thin_evidence,80.0,75.0,19.34,15.47,,,,,
dependency_T10_T14,task_dependency,high,T10,T10,T14,Identify need for initial or supplemental project resources.,"Identify, review, or select vendors or consultants to meet project needs.",enables,3,0.86,1,strong_edge|thin_evidence,65.0,62.5,31.12,20.23,,,,,
dependency_T10_T19,task_dependency,high,T10,T10,T19,Identify need for initial or supplemental project resources.,Coordinate recruitment or selection of project personnel.,enables,3,0.88,1,strong_edge|thin_evidence,65.0,62.5,31.12,20.23,,,,,
dependency_T11_T01,task_dependency,high,T11,T11,T01,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.","Manage project execution to ensure adherence to budget, schedule, and scope.",enables,4,0.96,2,strong_edge,80.0,81.25,60.92,48.74,,,,,
dependency_T11_T03,task_dependency,high,T11,T11,T03,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Monitor or track project milestones and deliverables.,enables,3,0.9,2,strong_edge,80.0,81.25,60.92,48.74,,,,,
dependency_T11_T06,task_dependency,high,T11,T11,T06,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.","Initiate, review, or approve modifications to project plans.",enables,3,0.86,2,strong_edge,80.0,81.25,60.92,48.74,,,,,
dependency_T11_T16,task_dependency,high,T11,T11,T16,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Establish and execute a project communication plan.,enables,3,0.88,2,strong_edge,80.0,81.25,60.92,48.74,,,,,
dependency_T11_T17,task_dependency,high,T11,T11,T17,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Develop and manage work breakdown structure (WBS) of information technology projects.,enables,3,0.84,2,strong_edge,80.0,81.25,60.92,48.74,,,,,
dependency_T12_T06,task_dependency,high,T12,T12,T06,Perform risk assessments to develop response strategies.,"Initiate, review, or approve modifications to project plans.",informs,3,0.88,1,strong_edge|thin_evidence,80.0,68.75,19.43,15.54,,,,,
