rank,model_id,display_name,provider,realized_occupation_exposure_100,benchmark_coverage_ratio,benchmark_count,benchmarks,benchmark_variants,release_date,notes
1,masteragent,MasterAgent,Benchmark submission,40.2685,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
2,masteragent20250510,MasterAgent20250510,Benchmark submission,40.2685,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
3,agent_2030_v2_0,agent-2030-v2.0,Benchmark submission,35.358,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
4,alita_v2_1,Alita v2.1,Benchmark submission,35.358,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
5,alita_v2_0,Alita v2.0,Benchmark submission,34.8677,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
6,agent_2030,agent-2030,Benchmark submission,33.6401,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
7,skywork_super_agents_v1_1,Skywork Super Agents v1.1,Benchmark submission,33.393,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
8,skywork_super_agents_v1,Skywork Super Agents v1,Benchmark submission,32.4125,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
9,langfun_agent_2_3,Langfun Agent 2.3,Benchmark submission,32.1654,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
10,alita_v1_1,Alita v1.1,Benchmark submission,31.9223,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
11,hero_v0_1,Hero v0.1,Benchmark submission,31.6751,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
12,aime_agent_v0_1,Aime_Agent_v0.1,Benchmark submission,31.432,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
13,aworld_click_to_run_instantly,AWorld (Click to Run Instantly),Benchmark submission,31.432,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
14,langfun_agent_v2_2,Langfun Agent v2.2,Benchmark submission,31.1849,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
15,agent2030,Agent2030,Benchmark submission,29.9573,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
16,co_sight_v0_2_cores_agent_original,Co-Sight v0.2 | CoreS-Agent original,Co-Sight v0.2,29.467,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
17,desearch_v0_4,desearch v0.4,Benchmark submission,29.467,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
18,alita_v0_1,Alita v0.1,Benchmark submission,28.9768,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
19,co_sight_v0_1_cores_agent_original,Co-Sight v0.1 | CoreS-Agent original,Co-Sight v0.1,28.9768,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
20,cores_agent_v1_2,CoreS-Agent(V1.2),Benchmark submission,28.9768,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
21,langfun_agent_v2_1,Langfun Agent v2.1,Benchmark submission,28.9768,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
22,cores_agent_v1_1,CoreS-Agent（V1.1）,Benchmark submission,28.7296,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
23,trase_agent_v0_3,Trase Agent v0.3,Benchmark submission,28.4825,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
24,aworld,AWorld,Benchmark submission,28.2394,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
25,deserach_v0_3,deserach v0.3,Benchmark submission,28.2394,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
26,owl_workforce,🦉 OWL - Workforce,Benchmark submission,27.9922,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
27,cores_agent,CoreS-Agent,Benchmark submission,27.502,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
28,desearch_v0_2,desearch v0.2,Benchmark submission,26.2744,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
29,ormind_v0_2,Ormind v0.2,Benchmark submission,26.0272,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
30,h2ogpte_agent_v1_6_8,h2oGPTe Agent v1.6.8,OpenAI-related submission,25.7841,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
31,forgecode_gpt_5_4,ForgeCode | GPT-5.4,ForgeCode,25.0371,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
32,tongagents_gemini_3_1_pro,TongAgents | Gemini 3.1 Pro,TongAgents,24.5474,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
33,forgecode_claude_opus_4_6,ForgeCode | Claude Opus 4.6,ForgeCode,24.425,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
34,anges,Anges,Benchmark submission,24.3094,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
35,forgecode_gemini_3_1_pro,ForgeCode | Gemini 3.1 Pro,ForgeCode,23.9964,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
36,sageagent_gpt_5_3_codex,SageAgent | GPT-5.3-Codex,SageAgent,23.9964,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
37,droid_gpt_5_3_codex,Droid | GPT-5.3-Codex,Droid,23.6598,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
38,owl_roleplaying,🦉 OWL - Roleplaying,Benchmark submission,23.572,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
39,desearch,desearch,Benchmark submission,23.0817,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
40,infantagent_04_17,InfantAgent-04-17,Benchmark submission,23.0817,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
41,capy_claude_opus_4_6,Capy | Claude Opus 4.6,Capy,23.0476,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
42,simple_codex_gpt_5_3_codex,Simple Codex | GPT-5.3-Codex,Simple Codex,22.9864,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
43,terminus_kira_gemini_3_1_pro,Terminus-KIRA | Gemini 3.1 Pro,Terminus-KIRA,22.8946,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
44,terminus_kira_claude_opus_4_6,Terminus-KIRA | Claude Opus 4.6,Terminus-KIRA,22.864,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
45,kkm_agent,KKM Agent,Benchmark submission,22.8346,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
46,mux_gpt_5_3_codex,Mux | GPT-5.3-Codex,Mux,22.8334,0.0543,1,terminal_bench_2,current_public,,Auto-generated from live benchmark aliases. Observed in: terminal_bench_2.
47,tapeagents_browsergym,TapeAgents & BrowserGym,Benchmark submission,22.5915,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
48,auto_deep_research,Auto-Deep-Research,Benchmark submission,22.3444,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
49,infantagent,InfantAgent,Benchmark submission,22.3444,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
50,oneagent,OneAgent,Benchmark submission,22.3444,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
51,open_deep_research_pass_1,open Deep Research | pass@1,open Deep Research,22.3444,0.1871,1,gaia,public_results,,Auto-generated from live benchmark aliases. Observed in: gaia.
